,Country,index,gdppc,Nrrent,TIME,pop,life_exp,muslim,female_uni,female_over_male,IQ,SelfEfficacy,SelfConcept,math_anxiety,equality_index,f_STEM,loggdppc,hy_f_STEM
227,Greece,1041,24364.26906,0.1,2012.0,11109.662,0.10513992234867271,1.3,59.056580000000004,0.42909262419334665,92.0,0.25,0.32,0.24,-0.04922776500000001,38.23046,10.100872955238035,30.02552927145283
228,Greece,1042,23746.08457,0.1,2013.0,11055.163999999999,0.10368828540218854,1.3,58.787380000000006,0.4370084229980958,92.0,0.25,0.32,0.24,-0.04922776500000001,38.399609999999996,10.075172935661323,30.41098548930878
229,Greece,1043,23989.13624,0.1,2014.0,11000.777,0.10260038904524653,1.3,57.77745,0.4418799733306277,92.0,0.25,0.32,0.24,-0.04922776500000001,37.68188,10.08535635018346,30.646099641006884
230,Bulgaria,1045,8488.59549,1.9,1999.0,8066.219,0.14248894060525755,12.2,66.14791,0.46359610028044257,93.0,0.15,0.18,0.04,-0.04491607400000001,47.53079,9.046478834524754,31.675139076389453
231,Bulgaria,1046,8958.089329999999,1.9,2000.0,8000.51,0.14162697128058085,12.2,64.44411,0.4931597424705626,93.0,0.15,0.18,0.04,-0.04491607400000001,47.19719,9.10031223880951,33.02792919226358
232,Bulgaria,1047,9526.39163,1.9,2001.0,7934.389,0.14039329304373657,12.2,62.52105,0.43317902991090784,93.0,0.15,0.18,0.04,-0.04491607400000001,41.948679999999996,9.161821292210053,30.225046618065292
233,Bulgaria,1048,10321.332390000001,1.9,2002.0,7869.124,0.13928424561615754,12.2,57.71656,0.5003500952836648,93.0,0.15,0.18,0.04,-0.04491607400000001,40.58137,9.24196813826003,33.34888949295969
234,Bulgaria,1049,10931.649379999999,1.9,2003.0,7805.041,0.13817979943987482,12.2,58.51894,0.5372010195528336,93.0,0.15,0.18,0.04,-0.04491607400000001,43.11235,9.299417473719856,34.94669940494207
235,Bulgaria,1050,11736.53445,1.9,2004.0,7742.74,0.13683967174411124,12.2,58.337140000000005,0.5364019724885573,93.0,0.15,0.18,0.04,-0.04491607400000001,42.8924,9.370461858151986,34.912866690722254
236,Bulgaria,1051,12680.93875,1.9,2005.0,7682.6140000000005,0.1350628835445852,12.2,58.886140000000005,0.5119994974981755,93.0,0.15,0.18,0.04,-0.04491607400000001,42.30731,9.447855259162514,33.86241188210404
237,Bulgaria,1053,14795.85668,1.9,2007.0,7568.378000000001,0.12940038142915167,12.2,60.0732,0.4923056713363433,93.0,0.15,0.18,0.04,-0.04491607400000001,42.55234,9.602102466503702,32.98959997220201
238,Bulgaria,1054,15741.485680000002,1.9,2008.0,7513.646,0.126096039126677,12.2,61.4114,0.3994715748176873,93.0,0.15,0.18,0.04,-0.04491607400000001,38.86538,9.664054906335348,28.544457922964774
