Building Name,City,Height (m),Height (ft),Floors,Started,Completed,Construction Years,Frame,HPY,Broad
Ritz-Carlton Jakarta,Jakarta,212,696,48,-,2005,-,Concrete,#VALUE!,No
Bellagio Tower 1-5,Hong Kong,206,676,64,-,2005,-,Concrete,#VALUE!,No
Langham Place Office Tower,Hong Kong,"255,1",837,59,-,2004,-,Concrete,#VALUE!,No
Tianjin Xinda Plaza,Tianjin,238,781,51,-,2004,-,Concrete,#VALUE!,No
Union Bank Plaza,Pasig,206,676,49,-,2004,-,Concrete,#VALUE!,No
Center Plaza,Guangzhou,"202,1",663,47,-,2004,-,Concrete,#VALUE!,No
Mokdong Hyperion Tower A,Seoul,256,840,69,-,2003,-,Concrete,#VALUE!,No
Radisson New World Hotel,Shanghai,208,682,47,-,2003,-,Concrete,#VALUE!,No
1322 Golden Empire Tower,Manila,203,666,57,-,2002,-,Concrete,#VALUE!,No
State Tower,Bangkok,"247,2",811,68,-,2001,-,Concrete,#VALUE!,No
CRC Tower,Bangkok,210,689,53,-,2001,-,Concrete,#VALUE!,No
Emirates Tower Two,Dubai,309,"1,014",56,-,2000,-,Concrete,#VALUE!,No
SEG Plaza,Shenzhen,"291,6",957,71,-,2000,-,Concrete,#VALUE!,No
BOCOM Financial Towers,Shanghai,"230,4",756,50,-,1999,-,Concrete,#VALUE!,No
Philamlife Tower,Makati,200,656,47,-,1999,-,Concrete,#VALUE!,No
J57 Mini Sky City,Changsha,"207,8",682,57,2015,2015,"0,054794520547945",Steel,"3792,35",Yes
T30 Hotel,Changsha,"99,9",328,30,2012,2012,"0,041095890410959",Steel,"2430,9",Yes
S30 apartment,Changsha,"99,8",327,30,2012,2012,"0,041095890410959",Steel,"2428,46666666667",Yes
New Ark Hotel,Changsha,"50,4",165,15,2010,2010,"0,019178082191781",Steel,2628,Yes
Sky city(p),Changsha,838,2749,202,-1,-1,"0,246575342465753",Steel,"3398,55555555556",Yes
